Tanggal,Prediksi
2023-12-30,187.42971991887995
2023-12-31,188.16498415737288
2024-01-01,188.73086233558726
2024-01-02,188.1015830606565
2024-01-03,189.63928980797658
2024-01-04,189.65598464734583
2024-01-05,189.69284402128176
2024-01-06,190.0077198029994
2024-01-07,188.97888386673048
2024-01-08,190.35269711918593
2024-01-09,189.43105554907973
2024-01-10,189.40284734486286
2024-01-11,188.55398311479976
2024-01-12,188.76539887050367
2024-01-13,189.79379929084718
2024-01-14,189.86135302885606
2024-01-15,191.64942772925855
2024-01-16,191.53497206908304
2024-01-17,192.44168204691968
2024-01-18,192.14748343214413
2024-01-19,192.57696889687932
2024-01-20,193.336101002494
2024-01-21,192.54747711984197
2024-01-22,193.27454247892703
2024-01-23,193.2069726559893
2024-01-24,193.26635392524344
2024-01-25,193.1959691400185
2024-01-26,193.8700699974159
2024-01-27,193.37840080514104
2024-01-28,194.074326909429
2024-01-29,193.4379827824036
2024-01-30,193.65405803452862
2024-01-31,194.232078418476
2024-02-01,194.49357990436675
2024-02-02,195.40030299504951
2024-02-03,194.84009204287088
2024-02-04,195.67299700718317
2024-02-05,194.0081417423165
2024-02-06,193.70157301313728
2024-02-07,193.99730832054126
2024-02-08,192.9739608747975
2024-02-09,193.80057622553673
2024-02-10,193.39604109911224
2024-02-11,194.117521713242
2024-02-12,193.88714460712777
2024-02-13,193.83239318731162
2024-02-14,194.00549881106357
2024-02-15,193.4027478920061
2024-02-16,193.56645268457515
2024-02-17,193.28920286205025
2024-02-18,193.3416988105194
2024-02-19,193.15800370171758
2024-02-20,192.84635732002664
2024-02-21,192.64746515367068
2024-02-22,192.51862390619598
2024-02-23,192.40402464892105
2024-02-24,192.22410755327348
2024-02-25,192.25414732414703
2024-02-26,192.04714333411812
2024-02-27,192.2697674538206
