Tanggal,Prediksi
2023-12-30,188.8297111374961
2023-12-31,187.69562211891318
2024-01-01,187.21044999995365
2024-01-02,187.09698068247545
2024-01-03,187.1623524869394
2024-01-04,187.263327570142
2024-01-05,187.3078903525459
2024-01-06,187.28453288025824
2024-01-07,187.24658112097873
2024-01-08,187.2115897907877
2024-01-09,187.24991610524114
2024-01-10,187.35452710117562
2024-01-11,187.4562988785337
2024-01-12,187.62003585229795
2024-01-13,187.75134812143267
2024-01-14,187.89988126364568
2024-01-15,188.03279368481864
2024-01-16,188.12163223299171
2024-01-17,188.2059394602378
2024-01-18,188.27130868794953
2024-01-19,188.31543915720522
2024-01-20,188.31977416107063
2024-01-21,188.3298917857051
2024-01-22,188.36969728558995
2024-01-23,188.3488895530889
2024-01-24,188.35500048270669
2024-01-25,188.38335926204107
2024-01-26,188.38329834409896
2024-01-27,188.414356214397
2024-01-28,188.4352724686172
