Model,RMSE,MAE,MAPE
elm_pso,3.958427958746953,2.939222049068208,0.0174968991349972
hybrid_pso,4.064281264193715,3.0317310960325603,0.017996776348689
lstm_pso,3.979797842985704,2.932495900664705,0.017504636856536613
arima,3.9542971702633576,2.9427605589884633,1.7517845701955672
